season,team,number,player,year,position,gp,gs,goals,assists,points,year_num,year_std,position_zone,position_group
2023-24,calgary,21,felipe raed di bari,So,M,5,0.0,0,0,0,2,2nd,M,MID
2023-24,calgary,22,james welsh,Fr,D,5,4.0,0,0,0,1,1st,D,DEF
2023-24,calgary,20,owen antoniuk,So,M,3,3.0,0,1,1,2,2nd,M,MID
2023-24,calgary,25,hudson bergdoll,Fr,M,2,0.0,0,0,0,1,1st,M,MID
2023-24,calgary,27,william fiore,Sr,M,1,1.0,0,0,0,4,4th,M,MID
2023-24,victoria,26,aiden grew,,DEF,16,15.0,3,2,5,0,UNK,DEF,DEF
2023-24,victoria,17,matthew pearse,,MID,16,6.0,5,1,6,0,UNK,MID,DEF
2023-24,victoria,4,javier sagaste,,MID,16,16.0,6,6,12,0,UNK,MID,DEF
2023-24,victoria,2,fin tugwell,,DEF,16,16.0,1,0,1,0,UNK,DEF,DEF
2023-24,victoria,30,callum weir,,GK,16,16.0,0,0,0,0,UNK,GK,GK
2023-24,victoria,13,remi barbot,,FOR,15,1.0,1,1,2,0,UNK,FOR,FOR
2023-24,victoria,7,yassin guitouni,,MID,15,15.0,2,0,2,0,UNK,MID,DEF
2023-24,victoria,18,alex moody,,DEF,15,15.0,0,0,0,0,UNK,DEF,DEF
2023-24,victoria,21,jimmy steel,,MID,15,15.0,1,3,4,0,UNK,MID,DEF
2023-24,victoria,19,harry ritter west,,FOR,14,1.0,0,1,1,0,UNK,FOR,FOR
2023-24,victoria,5,archie tugwell,,DEF,14,14.0,0,0,0,0,UNK,DEF,DEF
2023-24,victoria,14,ole cameron,,MID,12,5.0,0,0,0,0,UNK,MID,DEF
2023-24,victoria,3,jordan mckinty,,DEF,12,12.0,0,4,4,0,UNK,DEF,DEF
2023-24,victoria,22,jag zaharia,,DEF,12,7.0,1,0,1,0,UNK,DEF,DEF
2023-24,victoria,9,kaelan cooke,,FOR,9,9.0,1,1,2,0,UNK,FOR,FOR
2023-24,victoria,8,connor legge,,MID,9,9.0,1,0,1,0,UNK,MID,DEF
2023-24,victoria,11,mattheus achadinha,,DEF,6,1.0,1,0,1,0,UNK,DEF,DEF
2023-24,victoria,20,evan larson,,MID,5,1.0,1,0,1,0,UNK,MID,DEF
2023-24,victoria,16,matteo hilton,,MID,3,0.0,0,0,0,0,UNK,MID,DEF
2023-24,victoria,12,valentin kirchner,,DEF,3,1.0,0,0,0,0,UNK,DEF,DEF
2023-24,victoria,10,jack napier-ganley,,MID,2,1.0,0,0,0,0,UNK,MID,DEF
2023-24,victoria,24,takin marvasti,,DEF,1,0.0,0,0,0,0,UNK,DEF,DEF
2023-24,victoria,1,jared perras,,GK,1,0.0,0,0,0,0,UNK,GK,GK
2023-24,victoria,23,manchand virk,,DEF,1,0.0,0,0,0,0,UNK,DEF,DEF
2023-24,unbc,2,julian daduica,,D,15,7.0,0,0,0,0,UNK,D,DEF
2023-24,unbc,20,james jordan,,M,15,12.0,0,0,0,0,UNK,M,MID
2023-24,unbc,13,isaac tate,,M,15,15.0,1,3,4,0,UNK,M,MID
2023-24,unbc,27,daniel zadravec,,GK,15,15.0,0,0,0,0,UNK,GK,GK
2023-24,unbc,10,ibrahim ezletni,,F,14,2.0,0,0,0,0,UNK,F,FOR
2023-24,unbc,17,connor lewis,,F,14,10.0,3,2,5,0,UNK,F,FOR
2023-24,unbc,22,colin stauffer,,M,14,9.0,2,0,2,0,UNK,M,MID
2023-24,unbc,23,theo tate,,M,14,10.0,0,1,1,0,UNK,M,MID
2023-24,unbc,15,anton zadonsky,,M,14,12.0,0,0,0,0,UNK,M,MID
2023-24,unbc,9,michael henman,,F,13,13.0,5,2,7,0,UNK,F,FOR
2023-24,unbc,7,gregor smith,,M,13,13.0,1,1,2,0,UNK,M,MID
2023-24,unbc,14,charlie stewart,,M,13,5.0,2,2,4,0,UNK,M,MID
2023-24,unbc,19,maarten grombein,,D,12,11.0,0,0,0,0,UNK,D,DEF
2023-24,unbc,21,koss nystedt,,D,12,12.0,1,0,1,0,UNK,D,DEF
2023-24,unbc,26,zack sidhu,,D,11,8.0,0,0,0,0,UNK,D,DEF
2023-24,unbc,24,wyatt lyon,,M,9,8.0,0,1,1,0,UNK,M,MID
2023-24,unbc,11,alberto kuri,,F,8,1.0,1,0,1,0,UNK,F,FOR
2023-24,unbc,5,noah ballinger,,M,7,0.0,1,1,2,0,UNK,M,MID
2023-24,unbc,12,brady vojvodic,,M,7,1.0,0,0,0,0,UNK,M,MID
2023-24,unbc,16,trevor scott,,M,5,0.0,0,0,0,0,UNK,M,MID
2023-24,unbc,3,adam korduner,,D,2,0.0,0,0,0,0,UNK,D,DEF
2023-24,unbc,18,demian dron,,D,1,1.0,0,0,0,0,UNK,D,DEF
2023-24,mount royal,1,aidan dumoulin,,GK,14,14.0,0,0,0,0,UNK,GK,GK
2023-24,mount royal,7,josh flaksman,,F,14,13.0,4,2,6,0,UNK,F,FOR
2023-24,mount royal,27,ruben michael koudelka,,D,14,10.0,0,0,0,0,UNK,D,DEF
2023-24,mount royal,2,william libbey,,D,14,3.0,0,0,0,0,UNK,D,DEF
2023-24,mount royal,13,skyler rogers,,M,14,12.0,0,2,2,0,UNK,M,MID
2023-24,mount royal,11,david schaefer,,F,14,14.0,10,1,11,0,UNK,F,FOR
2023-24,mount royal,4,ethan keen,,D,13,12.0,0,1,1,0,UNK,D,DEF
2023-24,mount royal,28,nikolas meyer,,F,13,13.0,2,2,4,0,UNK,F,FOR
2023-24,mount royal,5,caden rogozinski,,D,13,13.0,0,0,0,0,UNK,D,DEF
2023-24,mount royal,18,mowbray beghin,,F,12,0.0,1,0,1,0,UNK,F,FOR
2023-24,mount royal,9,dawid dudek,,F,12,1.0,1,0,1,0,UNK,F,FOR
2023-24,mount royal,8,nikolas myroniuk,,M,12,12.0,4,0,4,0,UNK,M,MID
2023-24,mount royal,14,abel nesibu,,D,12,10.0,1,3,4,0,UNK,D,DEF
2023-24,mount royal,10,jonathan walter,,M,12,11.0,1,1,2,0,UNK,M,MID
2023-24,mount royal,26,alex kemsley,,D,11,10.0,0,1,1,0,UNK,D,DEF
2023-24,mount royal,15,hyunsoo ryu,,D,8,2.0,0,0,0,0,UNK,D,DEF
2023-24,mount royal,3,finn marshall,,F,6,0.0,0,0,0,0,UNK,F,FOR
2023-24,mount royal,6,benedikt mehl,,M,5,3.0,0,0,0,0,UNK,M,MID
2023-24,mount royal,19,wyatt davis,,D,4,0.0,0,0,0,0,UNK,D,DEF
2023-24,mount royal,20,miguel da rocha,,M,3,1.0,1,0,1,0,UNK,M,MID
2023-24,alberta,11,habib assem,So,F,13,5.0,3,0,3,2,2nd,F,FOR
2023-24,alberta,3,joel martins-correia,So,D,13,12.0,0,2,2,2,2nd,D,DEF
2023-24,alberta,27,adam parker,Jr,F,13,13.0,0,0,0,3,3rd,F,FOR
2023-24,alberta,9,marcus velado-tsegaye,2nd,F,13,13.0,4,2,6,2,2nd,F,FOR
2023-24,alberta,14,rodane cato,Jr,MID,12,12.0,0,0,0,3,3rd,MID,DEF
2023-24,alberta,1,chris ezoua,Sr,GK,12,12.0,0,0,0,4,4th,GK,GK
2023-24,alberta,8,thomas hope,So,D,12,12.0,0,0,0,2,2nd,D,DEF
2023-24,alberta,10,rilind idrizi,Jr,MID,12,12.0,2,4,6,3,3rd,MID,DEF
2023-24,alberta,16,prince amanda,So,F,11,11.0,3,0,3,2,2nd,F,FOR
2023-24,alberta,6,jake bosch,Jr,MID,11,11.0,0,1,1,3,3rd,MID,DEF
2023-24,alberta,12,eric gehlert,Jr,D,11,11.0,0,1,1,3,3rd,D,DEF
2023-24,alberta,18,jackson belbin,Fr,D,10,2.0,0,0,0,1,1st,D,DEF
2023-24,alberta,17,frankroy cain,Fr,F,10,4.0,2,0,2,1,1st,F,FOR
2023-24,alberta,23,david chung,Jr,MID,10,7.0,1,1,2,3,3rd,MID,DEF
2023-24,alberta,4,patrick kondraciuk,Fr,D,6,2.0,0,0,0,1,1st,D,DEF
2023-24,alberta,2,dylan marple,Fr,D,5,1.0,0,0,0,1,1st,D,DEF
2023-24,alberta,19,raqeeb popoola,Jr,F,3,1.0,0,0,0,3,3rd,F,FOR
2023-24,alberta,21,liam collens,Jr,GK,1,1.0,0,0,0,3,3rd,GK,GK
2023-24,alberta,30,alex dorscheid,Jr,GK,1,0.0,0,0,0,3,3rd,GK,GK
