goals,shots,sog,assists,player_count,avg_player_year,for,mid,G_mean,SH_mean,SOG_mean,A_mean,match_id,team,season,date,home_team,away_team,is_home,result,goal_diff,shot_diff,sog_diff,assist_diff,G_mean_diff,SH_mean_diff,SOG_mean_diff,A_mean_diff
1,9,3,0,15,,0.0,0.0,0.0666666666666666,0.6,0.2,0.0,2024-25__fri-30__ubc-okanagan__ufv,ufv,2024-25,fri. 30,ubc okanagan,ufv,0,draw,0,-3,-1,-1,0.004166666666666596,-0.15000000000000002,-0.04999999999999999,-0.0625
0,4,2,0,14,,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,2024-25__fri-30__unbc__victoria,victoria,2024-25,fri. 30,unbc,victoria,0,draw,0,-16,-10,0,0.0,-1.1428571428571428,-0.7142857142857143,0.0
3,26,12,2,16,,0.0,0.0,0.1875,1.625,0.75,0.125,2024-25__fri-4__trinity-western__ubc-okanagan,ubc-okanagan,2024-25,fri. 4,trinity western,ubc okanagan,0,loss,2,23,11,1,0.1208333333333334,1.425,0.6833333333333333,0.058333333333333404
1,26,12,1,14,,0.0,0.0,0.0714285714285714,1.8571428571428568,0.8571428571428571,0.0714285714285714,2024-25__fri-4__ubc__unbc,unbc,2024-25,fri. 4,ubc,unbc,0,loss,1,18,8,1,0.0714285714285714,1.2857142857142854,0.5714285714285714,0.0714285714285714
2,7,3,2,16,,0.0,0.0,0.125,0.4375,0.1875,0.125,2024-25__fri-4__ufv__thompson-rivers,thompson-rivers,2024-25,fri. 4,ufv,thompson rivers,0,loss,2,2,1,2,0.125,0.125,0.0625,0.125
1,17,7,1,16,,0.0,0.0,0.0625,1.0625,0.4375,0.0625,2024-25__fri-6__ubc__trinity-western,trinity-western,2024-25,fri. 6,ubc,trinity western,0,draw,0,5,0,0,-0.004166666666666596,0.26249999999999996,-0.029166666666666674,-0.004166666666666596
0,9,6,0,15,,0.0,0.0,0.0,0.6,0.4,0.0,2024-25__fri-6__unbc__ubc-okanagan,ubc-okanagan,2024-25,fri. 6,unbc,ubc okanagan,0,win,-1,-9,-3,-1,-0.0588235294117647,-0.45882352941176474,-0.12941176470588234,-0.0588235294117647
1,16,8,0,15,,0.0,0.0,0.0666666666666666,1.0666666666666669,0.5333333333333333,0.0,2024-25__fri-6__victoria__ufv,ufv,2024-25,fri. 6,victoria,ufv,0,draw,0,9,3,-1,0.004166666666666596,0.6291666666666669,0.22083333333333333,-0.0625
1,15,7,1,15,,0.0,0.0,0.0666666666666666,1.0,0.4666666666666667,0.0666666666666666,2024-25__sat-12__trinity-western__ufv,ufv,2024-25,sat. 12,trinity western,ufv,0,draw,0,7,4,0,0.004166666666666596,0.5,0.2791666666666667,0.004166666666666596
1,17,7,1,16,,0.0,0.0,0.0625,1.0625,0.4375,0.0625,2024-25__sat-12__ubc-okanagan__thompson-rivers,thompson-rivers,2024-25,sat. 12,ubc okanagan,thompson rivers,0,loss,1,6,1,1,0.0625,0.375,0.0625,0.0625
