match_id,season,team,date,home_team,away_team,is_home,result,shots_rolling3,sog_rolling3,assists_rolling3,player_count_rolling3,avg_player_year_rolling3,shots_form_diff,sog_form_diff,assists_form_diff,player_count_form_diff,avg_player_year_form_diff,win_rate_diff,win_rate_rolling5,player_count,for,mid
2023-24__fri-20__lethbridge__alberta,2023-24,alberta,fri. 20,lethbridge,alberta,0,win,9.578703703703704,3.949074074074074,0.38888888888888884,15.574074074074076,2.6470588235294117,-3.421296296296296,-0.05092592592592604,0.38888888888888884,-0.4259259259259238,0.0,0.6837962962962962,0.6837962962962962,16,0.0,0.0
2023-24__fri-22__unbc__alberta,2023-24,alberta,fri. 22,unbc,alberta,0,loss,17.0,4.0,0.0,16.0,2.6470588235294117,1.5,-3.5,-0.5,0.5,0.0,0.25,1.0,14,0.0,0.0
2023-24__sat-14__alberta__mount-royal,2023-24,alberta,sat. 14,alberta,mount royal,1,loss,12.0,5.0,0.5,15.0,2.6470588235294117,3.5,1.0,0.5,-1.0,0.0,-0.5,0.5,15,0.0,0.0
2023-24__sat-16__alberta__ufv,2023-24,alberta,sat. 16,alberta,ufv,1,win,12.666666666666666,4.666666666666667,0.3333333333333333,15.0,2.6470588235294117,-9.000000000000002,-5.333333333333333,-1.6666666666666667,0.3333333333333339,0.0,0.3333333333333333,0.3333333333333333,16,0.0,0.0
2023-24__sat-26__alberta__lethbridge,2023-24,alberta,sat. 26,alberta,lethbridge,1,win,11.666666666666666,4.666666666666667,0.3333333333333333,15.0,2.6470588235294117,2.666666666666666,1.3333333333333335,-0.6666666666666667,0.3333333333333339,0.0,-0.30000000000000004,0.5,17,0.0,0.0
2023-24__sat-30__alberta__macewan,2023-24,alberta,sat. 30,alberta,macewan,1,draw,12.666666666666666,4.666666666666667,0.0,16.0,2.6470588235294117,-0.6666666666666679,-4.333333333333333,-2.0,-0.33333333333333215,0.0,0.3,0.6,13,0.0,0.0
2023-24__sat-9__calgary__alberta,2023-24,alberta,sat. 9,calgary,alberta,0,win,11.333333333333334,4.666666666666667,0.3333333333333333,15.333333333333334,2.6470588235294117,-1.3333333333333321,-1.0,-0.3333333333333333,-0.33333333333333215,0.0,0.0,0.5,15,0.0,0.0
2023-24__sun-10__mount-royal__alberta,2023-24,alberta,sun. 10,mount royal,alberta,0,win,10.333333333333334,5.0,0.3333333333333333,15.0,2.6470588235294117,3.666666666666667,3.0,0.3333333333333333,-1.0,0.0,-0.10000000000000009,0.7,17,0.0,0.0
2023-24__sun-15__alberta__calgary,2023-24,alberta,sun. 15,alberta,calgary,1,win,9.666666666666666,4.666666666666667,0.3333333333333333,15.0,2.6470588235294117,-2.0,-2.0,-1.0,0.0,0.0,0.30000000000000004,0.9,15,0.0,0.0
2023-24__sun-22__saskatchewan__alberta,2023-24,alberta,sun. 22,saskatchewan,alberta,0,win,9.333333333333334,4.666666666666667,0.0,15.666666666666666,2.6470588235294117,-3.333333333333332,-1.666666666666666,-1.0,0.6666666666666661,0.0,0.8,0.9,15,0.0,0.0
2023-24__sun-24__trinity-western__alberta,2023-24,alberta,sun. 24,trinity western,alberta,0,win,8.666666666666666,4.0,0.0,15.666666666666666,2.6470588235294117,-3.0,-1.333333333333333,0.0,0.33333333333333215,0.0,0.20000000000000007,0.9,17,0.0,0.0
2023-24__sun-27__alberta__saskatchewan,2023-24,alberta,sun. 27,alberta,saskatchewan,1,draw,8.666666666666666,4.0,0.0,15.666666666666666,2.6470588235294117,-0.3333333333333339,0.6666666666666665,-1.3333333333333333,1.666666666666666,0.0,0.9,1.0,17,0.0,0.0
