season,team,number,player,year,position,gp,gs,goals,assists,points
2023-24,Victoria,3,Jordan McKinty,,DEF,12,12.0,0,4,4
2023-24,Victoria,22,Jag Zaharia,,DEF,12,7.0,1,0,1
2023-24,Victoria,9,Kaelan Cooke,,FOR,9,9.0,1,1,2
2023-24,Victoria,8,Connor Legge,,MID,9,9.0,1,0,1
2023-24,Victoria,11,Mattheus Achadinha,,DEF,6,1.0,1,0,1
2023-24,Victoria,20,Evan Larson,,MID,5,1.0,1,0,1
2023-24,Victoria,16,Matteo Hilton,,MID,3,0.0,0,0,0
2023-24,Victoria,12,Valentin Kirchner,,DEF,3,1.0,0,0,0
2023-24,Victoria,10,Jack Napier-Ganley,,MID,2,1.0,0,0,0
2023-24,Victoria,24,Takin Marvasti,,DEF,1,0.0,0,0,0
2023-24,Victoria,1,Jared Perras,,GK,1,0.0,0,0,0
2023-24,Victoria,23,Manchand Virk,,DEF,1,0.0,0,0,0
2023-24,UNBC,2,Julian Daduica,,D,15,7.0,0,0,0
2023-24,UNBC,20,James Jordan,,M,15,12.0,0,0,0
2023-24,UNBC,13,Isaac Tate,,M,15,15.0,1,3,4
2023-24,UNBC,27,Daniel Zadravec,,GK,15,15.0,0,0,0
2023-24,UNBC,10,Ibrahim Ezletni,,F,14,2.0,0,0,0
2023-24,UNBC,17,Connor Lewis,,F,14,10.0,3,2,5
2023-24,UNBC,22,Colin Stauffer,,M,14,9.0,2,0,2
2023-24,UNBC,23,Theo Tate,,M,14,10.0,0,1,1
2023-24,UNBC,15,Anton Zadonsky,,M,14,12.0,0,0,0
2023-24,UNBC,9,Michael Henman,,F,13,13.0,5,2,7
2023-24,UNBC,7,Gregor Smith,,M,13,13.0,1,1,2
2023-24,UNBC,14,Charlie Stewart,,M,13,5.0,2,2,4
2023-24,UNBC,19,Maarten Grombein,,D,12,11.0,0,0,0
2023-24,UNBC,21,Koss Nystedt,,D,12,12.0,1,0,1
2023-24,UNBC,26,Zack Sidhu,,D,11,8.0,0,0,0
2023-24,UNBC,24,Wyatt Lyon,,M,9,8.0,0,1,1
2023-24,UNBC,11,Alberto Kuri,,F,8,1.0,1,0,1
2023-24,UNBC,5,Noah Ballinger,,M,7,0.0,1,1,2
2023-24,UNBC,12,Brady Vojvodic,,M,7,1.0,0,0,0
2023-24,UNBC,16,Trevor Scott,,M,5,0.0,0,0,0
2023-24,UNBC,3,Adam Korduner,,D,2,0.0,0,0,0
2023-24,UNBC,18,Demian Dron,,D,1,1.0,0,0,0
2023-24,Mount Royal,1,Aidan Dumoulin,,GK,14,14.0,0,0,0
2023-24,Mount Royal,7,Josh Flaksman,,F,14,13.0,4,2,6
2023-24,Mount Royal,27,Ruben Michael Koudelka,,D,14,10.0,0,0,0
2023-24,Mount Royal,2,William Libbey,,D,14,3.0,0,0,0
2023-24,Mount Royal,13,Skyler Rogers,,M,14,12.0,0,2,2
2023-24,Mount Royal,11,David Schaefer,,F,14,14.0,10,1,11
