A,SH,SOG,G,away_team,date,home_team,match_id,number,player,position,season,team,team_side
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,22,Adam Szymanski,D,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,24,Nathan Cervo,,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,25,Matheus De Souza,GK,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,26,Sloan Hatch,,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,1,Jack Garner,GK,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,3,Joshua Tom&eacute;,,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,4,Marcus Puhalj,D,2025-26,UFV,away
0,1,1,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,6,Yuan Yu-Hsuan,M,2025-26,UFV,away
0,3,1,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,7,Henri Godbout,,2025-26,UFV,away
0,3,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,8,Theo Afework,F,2025-26,UFV,away
0,1,1,1,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,9,Max Comsia,F,2025-26,UFV,away
0,2,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,11,Brennen Fuerst,M,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,12,Joven Mann,M,2025-26,UFV,away
0,1,1,1,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,13,Eric Lajeunesse,D,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,14,Oliver Herbert,,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,21,Nicolas Nadeau,M,2025-26,UFV,away
0,1,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,24,Luke Norman,M,2025-26,UFV,away
1,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,25,Markus Rukavina,,2025-26,UFV,away
1,2,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,28,Markus Kaiser,M,2025-26,UFV,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,1,Luca Ortu,GK,2025-26,UNBC,home
0,1,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,2,Domenico Comita,D,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,3,Stephano Rettis-Martinez,D,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,4,Lewis Crompton,M,2025-26,UNBC,home
0,3,2,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,7,Ben Finley,F,2025-26,UNBC,home
1,5,1,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,8,Amir Ghasemi,M,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,10,Minwoo Kang,,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,11,Kaleb Voth,,2025-26,UNBC,home
0,1,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,19,Marcus D'Andrea,M,2025-26,UNBC,home
0,1,1,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,21,Lucas Kirnon,D,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,24,Liam Freathy,,2025-26,UNBC,home
0,3,3,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,26,Lachlan Will,F,2025-26,UNBC,home
0,5,3,1,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,27,Abdel Coulibaly,D,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,28,Aren Christianson,D,2025-26,UNBC,home
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,3,Adam Korduner,D,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,4,Pipeijn van der Ende,D,2025-26,Thompson Rivers,away
0,2,1,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,8,Hagon Kim,D,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,9,Cole Gunhold,,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,10,Mehdi Bounaaja,,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,13,Isaac Tate,M,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,14,Charlie Stewart,,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,16,Trevor Scott,,2025-26,Thompson Rivers,away
0,2,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,17,Mark Talisuna,M,2025-26,Thompson Rivers,away
2,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,19,Wyatt Lyon,M,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,20,James Jordan,M,2025-26,Thompson Rivers,away
0,2,2,1,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,21,Koss Nystedt,D,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,22,Josh Jordan,S,2025-26,Thompson Rivers,away
0,0,0,0,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,27,Logan Pierce,GK,2025-26,Thompson Rivers,away
0,4,3,1,Thompson Rivers,Fri. 22,UNBC,2025-26__fri-22__unbc__thompson-rivers,29,Jamie Wildash-Chan,D,2025-26,Thompson Rivers,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,2,Chance Carter,M,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,4,Lucio Rivera,D,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,6,Azar El Khallaa,M,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,7,Felix Guite,M,2025-26,Calgary,home
1,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,8,Ali Yildiz,M,2025-26,Calgary,home
0,3,2,1,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,11,Macky Mahfouz,F,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,13,Jason Vuzi,,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,15,Abhiroop Sandhu,M,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,17,Daniel Mann,,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,18,Miles Frett-Baptiste,,2025-26,Calgary,home
0,1,1,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,19,T-boy Fayia,D,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,22,Oleksandr Popravka,GK,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,23,Nicolas Luczkiewicz,M,2025-26,Calgary,home
0,1,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,27,Liam Van Laar,,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,33,Alain Sitchet,,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,34,Philip Wutzl,D,2025-26,Calgary,home
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,1,Hany Shafie,GK,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,2,Doohyeon Kim,,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,3,Milan Ponjevic,D,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,5,Joey Plenzik,D,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,6,Soliman Aria,M,2025-26,MacEwan,away
0,1,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,7,Aidan Izadi,,2025-26,MacEwan,away
0,3,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,9,Kimia Kassanda,F,2025-26,MacEwan,away
1,1,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,10,Gianmarco Plenzik,M,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,14,James Greco-Taylor,M,2025-26,MacEwan,away
0,1,1,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,16,Edomias Nesibu,,2025-26,MacEwan,away
0,1,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,18,William Omoreniye,D,2025-26,MacEwan,away
0,2,1,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,19,Dominic Anamali,F,2025-26,MacEwan,away
0,6,4,4,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,20,Owen Antoniuk,F,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,21,Felipe Raed Di Bari,,2025-26,MacEwan,away
1,1,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,24,Spencer McCallum,F,2025-26,MacEwan,away
1,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,25,Arash Mahjor,,2025-26,MacEwan,away
0,0,0,0,MacEwan,Sat. 23,Calgary,2025-26__sat-23__calgary__macewan,26,Isaiah Zarate,,2025-26,MacEwan,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,2,Dylan Marple,D,2025-26,Mount Royal,home
0,1,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,5,Patrick Kondraciuk,D,2025-26,Mount Royal,home
0,1,1,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,6,Jackson Belbin,D,2025-26,Mount Royal,home
0,1,1,1,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,8,Thomas Hope,D,2025-26,Mount Royal,home
0,1,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,9,Caden Ruby,F,2025-26,Mount Royal,home
0,3,2,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,10,Habib Assem,F,2025-26,Mount Royal,home
0,1,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,11,Prince Amanda,F,2025-26,Mount Royal,home
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,13,Nicholas Lechelt,M,2025-26,Mount Royal,home
0,2,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,14,Rodane Cato,M,2025-26,Mount Royal,home
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,16,Anson Minty,,2025-26,Mount Royal,home
1,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,17,Frankroy Cain,F,2025-26,Mount Royal,home
0,1,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,19,Declan Lindeman,,2025-26,Mount Royal,home
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,21,Trystan Read,GK,2025-26,Mount Royal,home
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,24,Jack Ferraro,,2025-26,Mount Royal,home
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,26,Harkirat Malhi,,2025-26,Mount Royal,home
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,2,Hyunsoo Ryu,DEF,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,4,Maximo Niro,,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,6,Alex Kemsley,DEF,2025-26,Alberta,away
1,3,1,1,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,7,Joshua Flaksman,FWD,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,8,Skyler Rogers,MID,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,9,Luka Patik,,2025-26,Alberta,away
0,1,1,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,10,Jonathan Walter,MID,2025-26,Alberta,away
1,1,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,11,Finn Marshall,FWD,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,12,Sjard Strauss,G,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,13,Joseph Green,DEF,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,15,Alexander Cameron,,2025-26,Alberta,away
0,2,1,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,17,Bwidju Mutongolo,,2025-26,Alberta,away
0,1,1,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,18,Felix Liebich,,2025-26,Alberta,away
1,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,20,Chanan Chanda,FWD,2025-26,Alberta,away
0,2,2,2,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,21,Nicholas Oteng,FWD,2025-26,Alberta,away
0,0,0,0,Alberta,Sat. 23,Mount Royal,2025-26__sat-23__mount-royal__alberta,26,Ruben Koudelka,DEF,2025-26,Alberta,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,2,Beckham Hatch,D,2025-26,Victoria,home
0,1,1,1,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,3,Brody Perkin,,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,4,Carson Muter,D,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,5,Iza Martinez,F,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,8,Grischa Heider,,2025-26,Victoria,home
0,1,1,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,10,Harjoven Sidhu,M,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,11,Kevin Mailand,M,2025-26,Victoria,home
0,2,1,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,12,Bhagvir Sidhu,D,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,13,Adriano Consiglio,M,2025-26,Victoria,home
0,1,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,14,Dylan Lee,M,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,20,Aidan Fitzgerald,,2025-26,Victoria,home
0,3,2,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,21,Ebi Igali,D,2025-26,Victoria,home
1,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,22,Adam Szymanski,D,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,24,Nathan Cervo,,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,25,Matheus De Souza,GK,2025-26,Victoria,home
0,1,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,26,Sloan Hatch,,2025-26,Victoria,home
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,1,Callum Weir,GK,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,2,Fin Tugwell,D,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,4,Alexander Moody,D,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,5,Archie Tugwell,D,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,6,Gregor Smith,,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,7,Yassin Guitouni,F,2025-26,UFV,away
0,1,1,1,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,8,Connor Legge,,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,11,Mattheus Achadinha,,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,12,Tristan Cornwell,,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,13,Wesley Jones,,2025-26,UFV,away
0,1,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,14,Ole Cameron,M,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,15,Aiden Grew,D,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,16,Matteo Hilton,M,2025-26,UFV,away
0,1,1,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,17,Matthew Pearse,F,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,20,Evan Larson,,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,22,Jag Zaharia,D,2025-26,UFV,away
0,0,0,0,UFV,Sat. 23,Victoria,2025-26__sat-23__victoria__ufv,24,Takin Keshavarz,M,2025-26,UFV,away
0,1,1,0,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,3,Aiden Evans,,2025-26,UBC,home
0,0,0,0,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,4,Zachary Stead,,2025-26,UBC,home
0,1,0,0,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,5,Adam Hajdecki,DEF,2025-26,UBC,home
0,0,0,0,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,7,Gabriel Moore,DEF,2025-26,UBC,home
0,0,0,0,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,8,JJ Janzen,MID,2025-26,UBC,home
0,2,2,1,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,9,Emmanuel Dan-Adokiene,FOR,2025-26,UBC,home
0,2,2,0,Trinity Western,Sat. 23,UBC,2025-26__sat-23__ubc__trinity-western,10,Jordan Low,MID,2025-26,UBC,home
